,n_com,I,C,M,R,L
1,1.0,1.0,0.05395,0.0012,0.96681,0.00271
2,1.0,2.0,0.05403,0.03734,0.14127,0.26571
3,1.0,3.0,0.037,0.01501,0.05032,0.03482
4,1.0,4.0,0.04682,0.00588,0.81809,0.0192
5,1.0,5.0,0.07612,0.00561,0.9082,0.13858
6,1.0,6.0,0.10266,0.04806,0.86876,0.03473
7,1.0,7.0,0.10463,0.04269,0.68848,0.08789
8,1.0,8.0,0.14346,0.01667,0.5267,0.00217
9,1.0,9.0,0.16906,0.04667,0.46433,0.32986
10,1.0,10.0,0.14709,0.03996,0.00295,0.00318
1,2.0,1.0,0.01818,0.01111,0.22314,0.05824
2,2.0,2.0,0.02001,0.01147,0.14056,0.0205
3,2.0,3.0,0.08505,0.00633,0.8768,0.02648
4,2.0,4.0,0.0718,0.01572,0.53697,0.1662
5,2.0,5.0,0.12536,0.04615,0.63904,0.30189
6,2.0,6.0,0.0689,0.04079,0.53439,0.04232
7,2.0,7.0,0.13017,0.0149,0.51791,0.00448
8,2.0,8.0,0.16621,0.01722,0.07619,0.00718
9,2.0,9.0,0.1474,0.03045,0.38283,0.12
10,2.0,10.0,0.18078,0.04842,0.48318,0.01075
1,3.0,1.0,0.04529,0.00027,0.87022,0.01072
2,3.0,2.0,0.05577,0.00869,0.41866,0.08011
3,3.0,3.0,0.05189,0.01553,0.62466,0.01126
4,3.0,4.0,0.10388,0.00115,0.3302,0.02362
5,3.0,5.0,0.09148,0.04958,0.38859,0.00598
6,3.0,6.0,0.13303,0.02178,0.97167,0.27877
7,3.0,7.0,0.113,0.0185,0.74666,0.02641
8,3.0,8.0,0.11504,0.00432,0.64042,0.03221
9,3.0,9.0,0.14076,0.06647,0.36665,0.28074
10,3.0,10.0,0.13509,0.058,0.63927,0.49167
1,4.0,1.0,0.09057,0.00788,0.37878,0.02025
2,4.0,2.0,0.07131,0.03171,0.64105,0.0368
3,4.0,3.0,0.06393,0.03164,0.40637,0.01149
4,4.0,4.0,0.08371,0.01044,0.8904,0.01956
5,4.0,5.0,0.09279,0.01589,0.82193,0.01512
6,4.0,6.0,0.11575,0.00432,0.16796,0.03468
7,4.0,7.0,0.11666,0.03971,0.1032,0.01434
8,4.0,8.0,0.14327,0.02136,0.6923,0.11825
9,4.0,9.0,0.08737,0.04786,0.46076,0.13072
10,4.0,10.0,0.1393,0.06601,0.90547,0.01169
1,5.0,1.0,0.04988,0.02014,0.05032,0.00832
2,5.0,2.0,0.03709,0.02415,0.31013,0.01574
3,5.0,3.0,0.06347,0.01112,0.93313,0.00357
4,5.0,4.0,0.04528,0.02548,0.16173,0.00608
5,5.0,5.0,0.09903,0.01065,0.37795,0.0138
6,5.0,6.0,0.11481,0.03698,0.1297,0.0123
7,5.0,7.0,0.11349,0.04716,0.49324,0.27876
8,5.0,8.0,0.15247,0.03205,0.23594,0.01515
9,5.0,9.0,0.13402,0.0303,0.59883,0.20335
10,5.0,10.0,0.19707,0.06066,0.3797,0.00832
1,6.0,1.0,0.03382,0.01333,0.26252,0.03181
2,6.0,2.0,0.00598,0.00547,0.84132,0.00559
3,6.0,3.0,0.03794,0.03108,0.37811,0.48838
4,6.0,4.0,0.02196,0.00711,0.9997,0.07273
5,6.0,5.0,0.06947,0.04495,0.54049,0.00277
6,6.0,6.0,0.11387,0.04274,0.10368,0.08211
7,6.0,7.0,0.13784,0.04223,0.40922,0.02017
8,6.0,8.0,0.153,0.02042,0.98218,0.10799
9,6.0,9.0,0.22103,0.04201,0.4438,0.19666
10,6.0,10.0,0.12922,0.04594,0.89417,0.013
1,7.0,1.0,0.02442,0.01342,0.3903,0.0216
2,7.0,2.0,0.05437,0.00917,0.23126,0.11881
3,7.0,3.0,0.04101,0.01062,0.17026,0.43187
4,7.0,4.0,0.05238,0.00995,0.60919,0.00636
5,7.0,5.0,0.05228,0.02218,0.48888,0.13802
6,7.0,6.0,0.07655,0.03156,0.53712,0.00327
7,7.0,7.0,0.11621,0.04213,0.15531,0.04275
8,7.0,8.0,0.13669,0.08599,0.56063,0.01207
9,7.0,9.0,0.18487,0.04404,0.78355,0.45829
10,7.0,10.0,0.14976,0.01584,0.37061,0.00633
1,8.0,1.0,0.03147,0.01099,0.39013,0.00206
2,8.0,2.0,0.10248,0.00165,0.35089,0.01165
3,8.0,3.0,0.06652,0.02853,0.45342,0.00557
4,8.0,4.0,0.06929,0.04377,0.87914,0.00265
5,8.0,5.0,0.09488,0.01034,0.78929,0.00326
